PlantID,Water,Inoculum,sample_data,mortality
R01I01W01,Low,Dry,1,alive
R02I01W01,Low,Dry,2,alive
R03I01W01,Low,Dry,3,alive
R04I01W01,Low,Dry,4,alive
R05I01W01,Low,Dry,5,alive
R06I01W01,Low,Dry,6,alive
R07I01W01,Low,Dry,7,alive
R08I01W01,Low,Dry,8,alive
R09I01W01,Low,Dry,9,alive
R10I01W01,Low,Dry,10,alive
R11I01W01,Low,Dry,11,alive
R12I01W01,Low,Dry,12,alive
R13I01W01,Low,Dry,13,alive
R14I01W01,Low,Dry,14,alive
R01I02W01,Low,2,1,alive
R02I02W01,Low,2,2,alive
R03I02W01,Low,2,3,alive
R04I02W01,Low,2,4,alive
R05I02W01,Low,2,5,alive
R06I02W01,Low,2,6,alive
R07I02W01,Low,2,7,alive
R08I02W01,Low,2,8,alive
R09I02W01,Low,2,9,alive
R10I02W01,Low,2,10,alive
R11I02W01,Low,2,11,alive
R12I02W01,Low,2,12,alive
R13I02W01,Low,2,13,alive
R14I02W01,Low,2,14,alive
R01I03W01,Low,3,1,alive
R02I03W01,Low,3,2,alive
R03I03W01,Low,3,3,alive
R04I03W01,Low,3,4,alive
R05I03W01,Low,3,5,alive
R06I03W01,Low,3,6,alive
R07I03W01,Low,3,7,dead
R08I03W01,Low,3,8,alive
R09I03W01,Low,3,9,alive
R10I03W01,Low,3,10,alive
R11I03W01,Low,3,11,alive
R12I03W01,Low,3,12,alive
R13I03W01,Low,3,13,alive
R14I03W01,Low,3,14,alive
R01I04W01,Low,Moderate,1,alive
R02I04W01,Low,Moderate,2,dead
R03I04W01,Low,Moderate,3,alive
R04I04W01,Low,Moderate,4,alive
R05I04W01,Low,Moderate,5,alive
R06I04W01,Low,Moderate,6,alive
R07I04W01,Low,Moderate,7,alive
R08I04W01,Low,Moderate,8,alive
R09I04W01,Low,Moderate,9,alive
R10I04W01,Low,Moderate,10,alive
R11I04W01,Low,Moderate,11,alive
R12I04W01,Low,Moderate,12,alive
R13I04W01,Low,Moderate,13,alive
R14I04W01,Low,Moderate,14,alive
R01I05W01,Low,Wet,1,alive
R02I05W01,Low,Wet,2,alive
R03I05W01,Low,Wet,3,alive
R04I05W01,Low,Wet,4,alive
R05I05W01,Low,Wet,5,alive
R06I05W01,Low,Wet,6,alive
R07I05W01,Low,Wet,7,alive
R08I05W01,Low,Wet,8,alive
R09I05W01,Low,Wet,9,alive
R10I05W01,Low,Wet,10,alive
R11I05W01,Low,Wet,11,alive
R12I05W01,Low,Wet,12,dead
R13I05W01,Low,Wet,13,alive
R14I05W01,Low,Wet,14,alive
